ball,score,commentary
7.4,0,"Umaid Asif to Babar Azam, no run, back of length outside off, steered straight to point"
7.3,2,"Umaid Asif to Babar Azam, 2 runs, full and straight on off, belted over the bowler's head, long-on comes around to cut that off"
7.2,4,"Umaid Asif to Babar Azam, FOUR,
 backs away to leg stump and then angles his bat to nudge this wide of 
the keeper to the third man boundary. Kamran may have been influenced by
 Babar's shimmie towards leg."
7.1,1,"Umaid Asif to Denly, 1 run, steers this down to square third man for an easy single"
6.6,0,"Wahab Riaz to Babar Azam, no run, sways out of the way of this short ball outside off"
6.5,1,"Wahab Riaz to Denly, 1 run, off the thigh pad as it deflects to the off side, they scamper a leg bye"
6.4,0,"Wahab Riaz to Denly, no run, hustled for pace, threw him off balance as he tried to work this square on the leg side. Denly nearly slipped onto the stumps.  This hit him so close to the box. Ouch"
6.3,0,"Wahab Riaz to Denly, no run, play and a miss. Touch fuller and slanting away again, looked to steer this behind point"
6.2,1,"Wahab Riaz to Babar Azam, 1 run, chops this down to third man, did well to get on top of the bounce"
6.1,4,"Wahab Riaz to Babar Azam, FOUR, steered off the face of the bat, beats square third man. Used Wahab's pace to good effect. Nicely done"
5.6,6,"Sameen Gul to Denly, SIX,
 hoicked and this sails over midwicket. Lovely hit, made sweet sound as 
it made connection with this full delivery. Didn't matter that he 
dragged it from outside off."
5.5,1,"Sameen Gul to Babar Azam, 1 run, plays the short-arm jab towards deep midwicket"
5.4,1,"Sameen Gul to Denly, 1 run, length on off stump, chopped down to third man"
5.3,4b,"Sameen
 Gul to Denly, 4 byes, big swing, big miss from both the batsman and 
keeper. This was angling in from wide of the crease, dying on Akmal as 
he tried to move low to his left. Should've grabbed that"
5.2,1,"Sameen Gul to Babar Azam, 1 run, length on off stump, steers this down to third man"
5.1,1lb,"Sameen
 Gul to Denly, 1 leg bye, big, big appeal for lbw as Denly is stuck on 
the pad as he looks to play across the line. They scamper a leg bye. 
Replays suggest this may have just missed leg stump."
4.6,0,"Jordan to Babar Azam, no run, yorker-length outside off, angles in late, Babar beaten as he plays outside the line of this."
4.5,4,"Jordan to Babar Azam, FOUR, slower and fuller outside off - a bit too predictable, really. Babar holds his shape and slaps this to the point boundary"
4.4,6,"Jordan to Babar Azam, SIX,
 manages to swing this deep into the deep square leg boundary. This was a
 slower length ball angling in and he just helped this along. Got more 
elevation but the timing wasn't half as bad as it looked."
4.3,1,"Jordan to Denly, 1 run, slower and fuller on off stump, dabbed towards point"
4.2,1,"Jordan to Babar Azam, 1 run, works this down towards deep square as they jog the single"
4.1,0,"Jordan to Babar Azam, no run, stands tall and punches this short of length delivery to cover"
3.6,0,"Sameen Gul to Denly, no run, steps out and looks to flat-bat this over the bowler's head, misses."
3.5,0,"Sameen Gul to Denly, no run,  dropped by Gul off his own bowling 
 but a magnificent effort. This length ball stopped on Denly, who chips 
it back. Gul did all the hard work in running to his right and diving 
full stretch to his right on the followthrough but just couldn't hold 
on."
3.4,0,"Sameen
 Gul to Denly, no run, looks to swing this towards the leg side but Gul 
cleverly shortens his length and cramps him for room. Beaten"
